All,Todos
"If you click [Confirm], all custom pricing from the selected quotes will be removed. The buyers will be able to place orders using their standard catalog prices.","Si pulsa [Confirm], todos los precios seleccionados se eliminaran. Los compradores serán capaces de realizar pedidos usando los precios estándar."
"Decline Quotes?","¿Declinar pedidos?"
"Cannot Decline the Selected Quotes","No puedes declinar los pedidos seleccionados"
"Only the quotes that are currently in status 'Open' can be declined","Solo los pedidos en estado ""Abierto"" pueden declinarse"
"If you decline this quote, all custom pricing from this quote will be removed. The buyer will be able to place an order using their standard catalog prices and discounts.","Si desea declinar el pedido, todos los precios seleccionados se eliminaran. Los compradores serán capaces de realizar pedidos usando los precios y descuentos estándar."
"Your file could not be uploaded. Please try again.","El archivo no pudo subirse. Inténtelo nuevamente."
"You cannot attach more than ten files per comment.","No puede adjuntos más de diez archivos por comentario."
"Cannot Upload File","No se puede cargar el archivo"
"Quote request rules","Solicitar reglas del pedido"
"Coupon codes and gift cards are not allowed on quotes. Choose whether you'd like to keep the coupon code/gift card without requesting a quote, or request a quote without the coupon code/gift card.","Los cupones y tarjetas regalo no se permiten en los presupuestos. Elige si deseas usar el cupón/tarjeta regalo o pedir un presupuesto sin ello."
"The shopping cart isn't empty","El carrito de compra está vacío"
"You have items in your shopping cart. Would you like to merge items in this order with items of this shopping cart or replace them?","Tienes artículos en tu carrito de compras. ¿Le gustaría combinar artículos en este pedido con artículos de este carrito de compras o reemplazarlos?"
"Select Cancel to stay on the current page.","Seleccione Cancelar para permanecer en la página actual."
"Are you sure you want to delete this quote?","¿Seguro que deseas eliminar este pedido?"
"Go to Checkout?","¿Ir a pagar?"
"Enable B2B Quote","Habilitar pedidos B2B"
"Minimum Amount","Importe mínimo"
"Minimum order total for quote request.","Pedido mínimo total para solicitar presupuesto."
"Minimum Amount Message","Mensaje de monto mínimo"
"This message will be shown in the shopping cart when the subtotal (after discount) is lower than the minimum allowed amount.","Este mensaje aparecerá en el carro de compras cuando el subtotal (después de descuento) es menor que el mínimo monto permitido."
"Default Expiration Period","Periodo de caducidad por defecto"
"This period will be used as the default expiration time period for quotes. It can be changed for any quote.","Este periodo será usado por defecto como caducidad de los presupuestos. Puede cambiarse."
"Attached files","Archivos adjuntos"
"File formats for upload","Formatos de archivo para subir"
"Separate each file extension with a comma. Special symboles like dots, converted commas, asterisk, etc. are not allowed.","Separa cada extensión de archivo con una coma. Símbolos especiales como puntos, comas invertidas, asteriscos, etc. no son permitidos."
"Maximum file size","Tamaño máximo de archivo"
"File size in MB. Note that this setting can be overridden by the server settings.","Tamaño del archivo en MB. Tenga en cuenta que esta configuración puede ser reemplazada por la configuración del servidor."
"Updated Quote Template (to Buyer)","Plantilla del pedido actualizada (al comprador)"
"Declined Quote Template (to Buyer)","Plantilla del pedido declinada (al comprador)"
"New Quote Template (to Seller)","Nueva plantilla del pedido (al vendedor)"
"Updated Quote Template (to Seller)","Plantilla del pedido actualizada (al vendedor)"
"Quote Expiration (in 48 hrs)","El pedido caduca (en 48 hrs)"
"Quote Expiration (in 24 hrs)","El pedido caduca (en 24 hrs)"
"Expiration Date Reset","La fecha de caducidad se resetea"
"Send Quote Email Copy To","Enviar pedido en copia a correo electrónico"
"Send Quote Email Copy Method","Enviar presupuesto en copia (método)"
"Request, Edit, Delete","Solicitar, Modificar, Borrar"
"Checkout with quote",Pagar
"View quotes of subordinate users","Ver presupuestos de subordinados"
"Allow Quotes","Permitir presupuestos"
"Created Date","Fecha de creación"
"Submitted By","Enviado por"
"Last Updated","Última Actualización"
"Quote Total (Base)","Total presupuesto (Base)"
"Quote Total (Negotiated)","Presupuesto Total (negociado)"
"Quote Name","Nombre del presupuesto"
"Quote Total","Total presupuesto"
"Exception occurred during quote view %s","Excepción ocurrida durante la visualización del presupuesto %s"
"No such public catalog entity","No existe tal entidad de catálogo público"
"Shared Catalog (or Customer Group)","Catálogo compartido (o grupo de clientes)"
"No New Relic Application ID configured, cannot continue with Cron Event reporting","No esta configurada la nueva ID de aplicación Relic, no se puede continuar con el reporte de Eventos Cron"
"The New Relic integration requires the newrelic-php5 agent, which is not installed. More
                        information on installing the agent is available <a target=""_blank"" href=""%1"">here</a>.","La nueva integración Relic requiere al agente newrelic-php5 que no está instalado. Más información sobre cómo instalar el agente está disponible <a target=""_blank"" href=""%1""> aquí</a>."
"New Relic Reporting Section","Nueva sección de reporte Relic"
"New Relic Reporting","Nuevos informes Relic"
"Enable New Relic Integration","Habilitar nueva integración Relic"
"New Relic API URL","Nueva URL de Relic API"
"Use %s to replace the account ID in the URL","Utilice %s para reemplazar el ID de cuenta en la URL"
"New Relic Account ID","Nuevo ID de cuenta Relic"
"""Need a New Relic account? <a href=""http://www.newrelic.com/magento"" target=""_blank"">Click here to get one","¿Necesita una cuenta nueva Relic? <a href=""http://www.newrelic.com/magento"" target=""_blank"">Haga click aquí para obtener una"
"New Relic Application ID","Nuevo ID de aplicación Relic"
"This can commonly be found at the end of the URL when viewing the APM after ""/applications/""","Esto comúnmente se encuentra al final de la URL al ver el APM después de ""/applications/"""
"New Relic API Key","Nueva clave de API de Relic"
"This is located by navigating to Events -> Deployments from the New Relic APM website","Esto se encuentra al navegar a Events -> Deployments en la nueva página web de Relic APM"
"Generated under Insights in Manage data -> API Keys -> Insert Keys","Generado en Insights en Manage data -> API Keys -> Insert Keys"
"New Relic Application Name","Nuevo nombre de la aplicación Relic"
"This is located by navigating to Settings from the New Relic APM website","Este se encuentra navegando a Settings de la nueva página web Relic APM"
"Enable Cron","Habilitar Cron"
"Send Adminhtml and Frontend as Separate Apps","Enviar Adminhtml y Frontend como aplicaciones separadas"
"In addition to the main app (which includes all PHP execution), separate apps for adminhtml and frontend will be created. Requires New Relic Application Name to be set.","Además de la aplicación principal (que incluye toda la ejecución de PHP), se crearán aplicaciones separadas para adminhtml y frontend. Requiere que se establezca el nombre de la nueva aplicación Relic."
"Delete Selected Problems","Eliminar problemas seleccionados"
"Unsubscribe Selected","Cancelar las suscripciones seleccionadas"
"Save Newsletter","Guardar el boletín informativo"
"Save and Resume","Guardar y reanudar"
"View Newsletter","Ver boletín informativo"
"Edit Newsletter","Editar el boletín informativo"
"Queue Information","Información de la cola de tareas"
"Queue Date Start","Fecha de inicio de la cola de tareas"
"Subscribers From","Suscriptores de"
"Newsletter Styles","Estilos del boletín informativo"
Pause,Pausa
"Do you really want to cancel the queue?","¿Realmente quiere cancelar la cola?"
Resume,Reanudar
"Return HTML Version","Devolver versión HTML"
"Save As","Guardar como"
"Edit Newsletter Template","Editar la plantilla para el boletín informativo"
"New Newsletter Template","Nueva plantilla para el boletín informativo"
"Queue Newsletter","Cola de Boletín"
"We unsubscribed the people you identified.","Hemos desuscrito a las personas que has identificado."
"The problems you identified have been deleted.","Los problemas identificados han sido eliminados."
"Newsletter Problems Report","Informes de problemas del boletín informativo"
"Newsletter Problem Reports","Informes de problemas del boletín informativo"
"Edit Queue","Editar la cola de tareas"
"Please correct the newsletter template and try again.","Por favor, corrige el template de la newsletter y vuelve a probar."
"You saved the newsletter queue.","Has guardado la cola del boletín."
Subscribers,Suscriptores
"Please select one or more subscribers.","Por favor, seleccione uno o más suscriptores."
"Total of %1 record(s) were deleted.","Total de %1 registros fueron borrados."
"The newsletter template has been deleted.","Se ha eliminado la plantilla de boletín de noticias."
"We can't delete this template right now.","No podemos borrar esta plantilla en este momento."
"Create Newsletter Template","Crear plantilla para el boletín de informativo"
"The newsletter template has been saved.","Se ha guardado la plantilla de boletín de noticias."
"Something went wrong while saving this template.","Algo ha fallado al grabar el template."
"Something went wrong while saving your subscription.","Algo ha fallado mientras grabábamos tu suscripción."
"We saved the subscription.","Se guardó la suscripción."
"We removed the subscription.","Quitamos la suscripción."
"Your subscription has been confirmed.","Su suscripción ha sido confirmada."
"This is an invalid subscription confirmation code.","El código de confirmación de suscripción es incorrecto."
"This is an invalid subscription ID.","Este es un ID de suscripción inválido."
"This email address is already assigned to another user.","Esta dirección de correo ya se asignó a otro usuario."
"Sorry, but the administrator denied subscription for guests. Please <a href=""%1"">register</a>.","Lo sentimos, pero el administrador no permite al suscripción de invitados. Por favor, <a href=""%1"">registrate</a>."
"This email address is already subscribed.","Esta dirección de correo electrónico ya está suscrita."
"The confirmation request has been sent.","La solicitud de confirmación ha sido enviada."
"Thank you for your subscription.","Gracias por suscribirse."
"There was a problem with the subscription: %1","Hubo un problema tu suscripción: %1"
"Something went wrong with the subscription.","Algo fallo con la suscripción."
"You unsubscribed.","Ha cancelado la suscripción."
"Something went wrong while unsubscribing you.","Algo ha fallado al tratar de desuscribirte."
Cancelled,Cancelado
"There are no subscribers selected.","No hay suscriptores seleccionados."
"You selected an invalid queue.","Elegiste una cola inválida."
"We cannot mark as received subscriber.","No se puede marcar como suscriptor recibido."
"Duplicate template code","Duplicado del código de la plantilla"
"Follow this link to unsubscribe <!-- This tag is for unsubscribe link  --><a href=""{{var subscriber.getUnsubscriptionLink()}}"">{{var subscriber.getUnsubscriptionLink()}}</a>","Siga este enlace para anular su suscripción <!-- Esta etiqueta es para el enlace de anulación--><a href=""{{var subscriber.getUnsubscriptionLink()}}"">{{var subscriber.getUnsubscriptionLink()}}</a>"
"Choose Store View:","Ladenansicht wählen:"
"Newsletter Message Preview","Vista previa del boletín informativo"
"Add to Queue","Añadir a la cola"
"Are you sure that you want to strip all tags?","¿Realmente quiere desaplicar todas las etiquetas?"
"Please enter a new template name.","Por favor, ingrese un nuevo nombre de plantilla."
" Copy",Copia
"Sign Up for Our Newsletter:","Inscríbase a nuestro boletín de noticias:"
"Enter your email address","Introduzca su dirección de correo electrónico"
Subscribe,Suscribirse
"Newsletter subscription confirmation","Confirmación de la suscripción al boletín informativo"
"Thank you for subscribing to our newsletter.","Gracias por suscribirte a nuestro boletín."
"To begin receiving the newsletter, you must first confirm your subscription by clicking on the following link:","Antes de recibir los boletines, debes confirmar la suscripción haciendo click en el siguiente enlace:"
"Newsletter subscription success","Ha suscrito con éxito nuestro boletín informativo"
"You have been successfully subscribed to our newsletter.","Te has suscrito con éxito al nuestro boletín."
"Newsletter unsubscription success","Ha cancelado con éxito su suscripción al boletín informativo"
"You have been unsubscribed from the newsletter.","Has sido dado de baja de nuestro boletín."
"Newsletter Template","Plantillas del boletín informativo"
"Newsletter Section","Sección de boletín"
"Subscription Options","Opciones de suscripción"
"Allow Guest Subscription","Permitir visitantes a subscribirse"
"Need to Confirm","Debe confirmar"
"Confirmation Email Sender","Remitente del correo electrónico de confirmación"
"Confirmation Email Template","Plantilla del correo electrónico de confirmación"
"Success Email Sender","Remitente de correo electrónico para operación exitosa"
"Success Email Template","Plantilla de correo electrónico para operación exitosa"
"Unsubscription Email Sender","Remitente de correo electrónico para cancelar la suscripción"
"Unsubscription Email Template","Plantilla de correo electrónico para cancelar la suscripción"
"We found no problems.","No encontramos problemas."
Subscriber,Suscriptor
"Queue Start Date","Fecha de inicio de cola"
"Queue Subject","Asunto de la cola de tareas"
"Error Code","Código de error"
"Error Text","Texto de error"
"Queue Start","Inicio de la cola de tareas"
"Queue End","Final de la cola"
Processed,Procesado
Recipients,Recipientes
Unsubscribe,Desuscribirse
"Customer First Name","Nombre del cliente"
"Customer Last Name","Apellido del cliente"
"Not Activated","No activado"
Subscribed,Suscrito
Unsubscribed,Desuscrito
Unconfirmed,"Sin confirmar"
"Newsletter Subscriptions","Suscripciones al boletín informativo"
"We have saved your subscription.","Se guardó la suscripción."
"A confirmation request has been sent.","Una solicitud de confirmación ha sido enviada."
"We have removed your newsletter subscription.","Hemos eliminado tu suscripción al boletín de noticias."
"We have updated your subscription.","Se actualizó la suscripción."
"Make Check payable to:","Pagar el cheque a:"
"Send Check to:","Enviar cheque a:"
"Make Check payable to: %1","Hacer cheque pagadero a: %1"
"Make Check payable to","Hacer cheque pagadero a"
"Send Check to","Enviar cheque a"
"Check / Money Order","Cheque / Orden de pago internacional"
"Make Check Payable to","Pagar el cheque a"
"Bank Transfer Payment","Pago por transferencia bancaria"
Instructions,Instrucciones
"Cash On Delivery Payment","Pago contra reembolso"
"Zero Subtotal Checkout","Proceso de pago con un total de cero"
"Automatically Invoice All Items","Facturar automáticamente todos los artículos"
"Purchase order number is a required field.","El número de orden de compra es un campo obligatorio."
"Shipping Price","Precio de envío"
"Export CSV","Exportar CSV"
"Store Pickup","Se recoge en tienda"
"Weight vs. Destination","Peso vs. destino"
"Price vs. Destination","Precio vs destino"
"# of Items vs. Destination","Nº de elementos vs. destino"
"Weight (and above)","Peso (y más)"
"Order Subtotal (and above)","Subtotal del pedido (y anteriores)"
"# of Items (and above)","Nº de elementos (o más)"
"Please correct Table Rate code type: %1.","Por favor corrige el tipo de código de la Tabla de Tarifas: %1."
"Please correct Table Rate code for type %1: %2.","Por favor corregir código de tabla de tarifa para tipo %1: %2."
"Per Order","Por pedido"
"Per Item","Pro Artikel"
"Unable to import data","No se puede importar datos"
"Something went wrong while importing table rates.","Algo salió mal al importar la tabla de tarifas."
"We couldn't import this file because of these errors: %1","No pudimos importar este archivo a causa de estos errores: %1"
"Requested column ""%1"" cannot be resolved","Columna solicitada ""%1"" no se puede resolver"
"Column ""%1"" not found","Columna ""%1"" no encontrada"
"Please correct Table Rates format in the Row #%1.","Corregir el formato de la tabla de tarifas de la fila #%1."
"Please correct Country ""%1"" in the Row #%2.","Por favor corregir país ""%1"" en la fila #%2."
"Please correct Region/State ""%1"" in the Row #%2.","Por favor corrija Región/Estado ""%1"" en la fila #%2."
"Please correct %1 ""%2"" in the Row #%3.","Por favor corrija %1 ""%2"" en la fila #%3."
"Please correct Shipping Price ""%1"" in the Row #%2.","Por favor corrija el precio de envió ""%1"" en la fila #%2."
"Duplicate Row #%1 (duplicates row #%2)","Fila duplicada #%1 (filas duplicadas #%2)"
"Please correct Table Rates File Format.","Por favor corrige el formato de archivo de la Tabla de Tarifas."
"For matching items only","Sólo para artículos correspondientes"
"For shipment with matching items","Para envíos con artículos correspondientes"
"Flat Rate","Tarifa plana"
"Method Name","Nombre del método"
"Table Rates","Tarifa basada en tablas"
"Include Virtual Products in Price Calculation","Includir artículos virtuales a la calculación del precio"
"Free Shipping","Transporte gratuito"
"Minimum Order Amount","Pedido mínimo"
"Duplicate Row #%1 (Country ""%2"", Region/State ""%3"", Zip ""%4"" and Value ""%5"")","Fila duplicada #%1 (país ""%2"", región/estado Zip ""%3"", CP ""%4"" y el valor ""%5"")"
"Sorry, but we can't deliver to the destination country with this shipping module.","Lo sentimos, pero nosotros no podemos entregar al país de destino con este módulo de envío."
"The Table Rates File Format is incorrect in row number ""%1"". Verify the format and try again.","El formato del archivo de la Tabla de Tarifas es incorrecto en el número de fila ""%1"". Verifique el formato y vuelva a intentarlo."
"The ""%1"" country in row number ""%2"" is incorrect. Verify the country and try again.","El país ""%1"" en el número de fila ""%2"" es incorrecto. Verifica el país y vuelve a intentarlo."
"The ""%1"" region or state in row number ""%2"" is incorrect. Verify the region or state and try again.","La región o estado ""%1"" en el número de fila ""%2"" es incorrecta. Verifique la región o el estado y vuelva a intentarlo."
"The ""%1"" shipping price in row number ""%2"" is incorrect. Verify the shipping price and try again.","El precio de envío ""%1"" en el número de fila ""%2"" es incorrecto. Verifique el precio de envío y vuelva a intentarlo."
"The Table Rates File Format is incorrect. Verify the format and try again.","El formato de archivo de la Tabla de Tarifas es incorrecto. Verifique el formato y vuelva a intentarlo."
"The ""%1"" code type for Table Rate is incorrect. Verify the type and try again.","El tipo de código ""%1"" para la tabla de tarifa es incorrecto. Verifique el tipo y vuelva a intentarlo."
"The ""%1: %2"" code type for Table Rate is incorrect. Verify the type and try again.","El tipo de código ""%1:%2"" para la tabla de tarifa es incorrecto. Verifique el tipo y vuelva a intentarlo."
"Export VCL for Varnish %1","Exportar VCL para Varnish %1"
"Ttl value ""%1"" is not valid. Please use only numbers equal or greater than zero.","Valor Ttl ""%1"" no es válido. Por favor utilice sólo números iguales o mayores que cero."
"Built-in Cache","Caché integrado"
"Varnish Cache (Recommended)","Caché Varnish (recomendado)"
"Unsupported varnish version","Versión de barniz no compatible"
"Full Page Cache","Caché de página completa"
"Caching Application","Aplicación de Caché"
"Varnish Configuration","Configuración de Varnish"
"Access list","Lista de acceso"
"IPs access list separated with ',' that can purge Varnish configuration for config file generation.
                            If field is empty default value localhost will be saved.","Lista de acceso IP separados por ',' que puede purgar la configuración Varnish para la generación de archivo de config.                             Si el campo está vacío se guardará por defecto el valor localhost."
"Specify backend host for config file generation. If field is empty default value localhost will be saved.","Especificar el host de backend para la generación del archivo config. Si el campo está vacío, el valor predeterminado localhost sera guardado."
"Backend port","Puerto de backend"
"Specify backend port for config file generation. If field is empty default value 8080 will be saved.","Especificar el puerto de backend para la generación de archivo de config. Si el campo está vacío se guardará el valor predeterminado 8080."
"Grace period","Período de gracia"
"Specify grace period in seconds for config file generation. If field is empty default value 300 will be saved. This grace period will be used to serve cached content when the server is healthy. If the server is not healthy, cached content will be served for 3 days before failing.","Especifique el período de gracia en segundos para generación de archivo de config. Si el campo está vacío se guardarán el valor por defecto 300. Este período de gracia se utilizará para servir contenido almacenado en caché cuando el servidor está sano. Si el servidor no es saludable, contenido almacenado en caché se servirá durante 3 días antes."
"TTL for public content","TTL para contenido público"
"Public content cache lifetime in seconds. If field is empty default value 86400 will be saved.","Duración del caché de contenido público en segundos. Si el campo está vacío, se guardará el valor predeterminado 86400."
"Page Cache","Caché de la página"
"Full page caching","Caché de pagina completa"
"Export VCL for Varnish ","Exporta VCL para Varnish "
"Built-in Application (Not Recommended for Production Use)","Aplicación incorporada (no se recomienda para uso de producción)"
"Varnish Caching","Cache Varnish"
"Full page caching.","Caché de pagina completa."
"Access List value ""%1"" is not valid. Please use only IP addresses and host names.","El valor de la lista de acceso ""%1"" no es válido. Por favor, utilice sólo direcciones IP y nombres de host."
"Export Configuration","Exportar Configuración"
"We cannot retrieve the payment method model object.","No se puede recuperar el objeto del método de pago."
"We cannot retrieve the payment info model object.","No se puede recuperar el objeto con la información del pago."
"Switch/Solo/Maestro Issue Number","Número de expedición de Switch/Solo/Maestro"
"Switch/Solo/Maestro Start Date","Fecha de inicio de Switch/Solo/Maestro"
"We cannot retrieve the transparent payment method model object.","No se puede recuperar el objeto del método de pago transparente."
"Command Executor for %1 is not defined.","El comando ejecutor para %1 no está definido."
"Command %1 does not exist.","El comando %1 no existe."
"Wrong gateway response format.","Formato de la respuesta de la pasarela incorrecto."
"Validator for field %1 does not exist.","Validador de campo %1 no existe."
"All Allowed Countries","Todos los países permitidos"
"Specific Countries","Especifique países."
"The payment method you requested is not available.","La forma de pago solicitada no está disponible."
"The payment disallows storing objects.","El pago no permite almacenar objetos."
"We cannot retrieve the payment method code.","No se puede encontrar el código del método de pago."
"We cannot retrieve the payment information object instance.","No se puede encontrar la instancia del objeto de la información de pago."
"You can't use the payment type you selected to make payments to the billing country.","No se puede utilizar el método de pago seleccionado para hacer pagos en el país de facturación."
"The order action is not available.","Realizar pedido no está disponible."
"The authorize action is not available.","Realizar autorización no está disponible."
"The capture action is not available.","Realizar captura no está disponible."
"The refund action is not available.","Realizar devuelto no está disponible."
"The void action is not available.","Realizar anulación no está disponible."
"The payment review action is unavailable.","La acción de revisión de pago no está disponible."
"The credit card number doesn't match the credit card type.","El número de tarjeta de crédito no coincide con el tipo de tarjeta de crédito."
"Invalid Credit Card Number","Número de tarjeta de crédito inválido"
"This credit card type is not allowed for this payment method.","Este tipo de tarjeta no se acepta para este método de pago."
"Please enter a valid credit card verification number.","Por favor, introduzca el número de verificación de tarjeta de crédito válido."
"Please enter a valid credit card expiration date.","Por favor, introduzca una fecha de caducidad de tarjeta de crédito que está válida."
"%1 class doesn't implement \Magento\Payment\Model\MethodInterface","Clade %1 no implementa \Magento\Payment\Model\MethodInterface"
"Failure #1","Fallo #1"
"Failure #2","Fallos #2"
"Payment method","Método de pago"
" is not available. You still can process offline actions."," no está disponible. Usted puede continuar fuera de línea."
"We'll ask for your payment details before you place an order.","Te pediremos pedir los datos de pago antes de hacer un pedido."
"Please enter a valid credit card type number.","Ingrese un número de tipo de tarjeta de crédito válido."
"Please enter a valid credit card number.","Por favor, introduzca un número de tarjeta de crédito válido."
"Incorrect credit card expiration month.","Mes incorrecto de vencimiento de la tarjeta de crédito."
"Incorrect credit card expiration year.","Año de vencimiento incorrecto de la tarjeta de crédito."
"Payment Methods Section","Sección de métodos de pago"
"Payment Services","Servicios de pago"
"Please provide payment for the order.","Por favor proporcione el pago del pedido."
"The ""%1"" command executor isn't defined. Verify the executor and try again.","El ejecutor de comandos ""%1"" no está definido. Verifica el ejecutor y vuelve a intentarlo."
"The ""%1"" command doesn't exist. Verify the command and try again.","El comando ""%1"" no existe. Verifique el comando y vuelva a intentarlo."
"The gateway response format was incorrect. Verify the format and try again.","El formato de respuesta de la puerta de enlace era incorrecto. Verifique el formato y vuelva a intentarlo."
"The validator for the ""%1"" field doesn't exist.","El validador para el campo ""%1"" no existe."
"Billing Agreements","Acuerdos de pago"
"Reference ID","ID de referencia"
"Billing Agreement #%1","Acuerdo de pago nº %1"
"Related Orders","Pedidos relacionados"
"Billing Agreement View","Ver acuerdo de pago"
"Are you sure you want to authorize full order amount?","¿Está seguro de que desea autorizar el importe total del pedido?"
"View Transaction Details","Ver detalles de la transacción"
"Reference Information","Información de Referencia"
"Transaction Information","Información de Transacción"
"PayPal Fee Information","Información de tarifa de PayPal"
"We are connecting to the PayPal SFTP server to retrieve new reports. Are you sure you want to continue?","Conectándose al servidor SFTP de PayPal para recuperar nuevos informes. ¿Estás seguro de querer continuar?"
"Fetch Updates","Nuevos resultados obtenidos"
Help,Ayuda
"View Demo","Vea la demostración"
"See terms","Ver términos"
"You will be redirected to the PayPal website.","Se le redirigirá al sitio web de PayPal."
"You will be redirected to the PayPal website when you place an order.","Cuando realice el pedido se le devolverá a la página PayPal."
"Invalid block type","Tipo de bloque no válido"
"Please specify the correct billing agreement ID and try again.","Por favor, especifique el ID de acuerdo facturación correcto y vuelva a intentarlo."
"You canceled the billing agreement.","Se ha cancelado el acuerdo de facturación."
"We can't cancel the billing agreement.","No podemos cancelar el acuerdo de facturación."
"You deleted the billing agreement.","Se ha eliminado el acuerdo de facturación."
"We can't delete the billing agreement.","No podemos eliminar el acuerdo de facturación."
"Payment authorization has been successfully created.","Autorización de pago ha sido creada con éxito."
"Unable to make payment authorization.","No se puede realizar la autorización de pago."
"View Transaction","Ver transacción"
"We found nothing to fetch because of an empty configuration.","No hemos encontrado nada para buscar debido a falta de configuración."
"We fetched %1 report rows from ""%2@%3.""","Se obtuvieron %1 filas de los reportes de ""%2@%3"""
"We can't fetch reports from ""%1@%2.""","No podemos obtener informes de ""%1@%2."""
"The billing agreement ""%1"" has been canceled.","El acuerdo de facturación ""%1"" se ha cancelado."
"The billing agreement ""%1"" has been created.","El acuerdo de facturación ""%1"" se ha creado."
"We couldn't finish the billing agreement wizard.","El asistente de acuerdos de facturación no ha podido finalizar."
"We can't start the billing agreement wizard.","El asistente de acuerdos de facturación no ha podido iniciarse."
"Billing Agreement # %1","Acuerdo de pago nº %1"
"We can't initialize Express Checkout.","No podemos inicializar Express Checkout."
"PayPal Express Checkout Token does not exist.","El símbolo para la Salida Express con Paypal no existe."
"A wrong PayPal Express Checkout Token is specified.","Se ha especificado incorrectamente un Token de PayPal Express Checkout."
"Express Checkout and Order have been canceled.","El pedido y la Caja Express se han cancelado."
"Express Checkout has been canceled.","La Caja Express se ha cancelado."
"Unable to cancel Express Checkout","No se ha podido cancelar Express Checkout"
"We can't process Express Checkout approval.","No podemos procesar la aprobación de Express Checkout."
"We can't initialize Express Checkout review.","No podemos inicializar la revisión de Checkout Express."
"We can't start Express Checkout.","No podemos iniciar Express Checkout."
"To check out, please sign in with your email address.","Para efectuar el check out, por favor inicie sesión con su cuenta de email."
"Requested payment method does not match with order.","La forma de pago seleccionada no coincide con el pedido."
"Would you like to sign a billing agreement to streamline further purchases with PayPal?","¿Le gustaría firmar un contrato de facturación para agilizar sus futuras compras con PayPal?"
"Error processing payment, please try again later.","Error al procesar el pago, por favor inténtalo más tarde."
"Authorization is not allowed.","No se permite la autorización."
"Payment Gateway is unreachable at the moment. Please use another payment option.","La pasarela de pago está inaccesible en este momento. Por favor utilice otro método de pago."
"PayPal response hasn't required fields.","La respuesta de PayPal no tiene campos obligatorios."
"Something went wrong while processing your order.","Algo salió mal durante el procesamiento de su pedido."
"PayPal gateway has rejected request. %1","La puerta de enlace de PayPal ha rechazado la solicitud. %1"
"The PayPal gateway rejected the request. %1","La pasarela de PayPal rechazó la petición. %1"
"I'm sorry - but we were not able to process your payment. Please try another payment method or contact us so we can assist you.","Lo sentimos, pero no hemos podido procesar su pago. Por favor, introduzca otro método de pago o póngase en contacto con nosotros si necesita ayuda."
"I'm sorry - but we are not able to complete your transaction. Please contact us so we can assist you.","Lo sentimos, pero no hemos podido finalizar su transacción. Por favor, póngase en contacto con nosotros si necesita ayuda."
"A match of the Shipping Address City, State, and Postal Code failed.","Una combinación de la Dirección de Envío, Provincia y Código Postal no es correcta."
"The payment method code is not set.","No se estableció el código de método de pago."
"The reference ID is not set.","No se estableció el ID de referencia."
"Unable to save Billing Agreement:","No se puede guardar el contrato de facturación:"
"The customer ID is not set.","No se ha establecido la Id. del cliente."
"The Billing Agreement status is not set.","No se ha establecido el estado del acuerdo de facturación."
"The PayPal certificate does not exist.","Certificado PayPal no existe."
"We prefer PayPal (150 X 60)","Preferimos PayPal (150 X 60)"
"We prefer PayPal (150 X 40)","Preferimos PayPal (150 X 40)"
"Now accepting PayPal (150 X 60)","Ahora se acepta Paypal (150 X 60)"
"Now accepting PayPal (150 X 40)","Se acepta PayPal (150 X 40)"
"Payments by PayPal (150 X 60)","Pagos por PayPal (150 X 60)"
"Payments by PayPal (150 X 40)","Pagos por PayPal (150 X 40)"
"Shop now using (150 X 60)","Compre ahora utilizando (150 X 60)"
"Shop now using (150 X 40)","Compre ahora usando (150 X 40)"
Shortcut,"Acceso directo"
"Acceptance Mark Image","Imagen de señal de aceptación"
Authorization,Autorización
"For Virtual Quotes Only","Solo para presupuestos en línea"
"Ask Customer","Preguntar al cliente"
"IPN (Instant Payment Notification) Only","Nur IPN (Sofortzahlungsbenachrichtigung)"
"API Signature","Firma API"
"API Certificate","Certificdo API"
"The maximum number of child authorizations is reached.","Se ha alcanzado el número máximo de autorizaciones infantiles."
"We'll authorize the amount of %1 as soon as the payment gateway approves it.","Autorizaremos la cantidad de %1 tan pronto como el Gateway de pago aprueba."
"The authorized amount is %1.","El monto autorizado es %1."
"PayPal can't process orders with a zero balance due. To finish your purchase, please go through the standard checkout process.","PayPal no podrá procesar órdenes con un saldo pendiente en ceros. Para finalizar su compra, por favor pasar por el proceso de pago estándar."
"A payer is not identified.","El pagador no se ha identificado."
"Cannot get secure form URL from PayPal","No puedes obtener la URL de la forma segura de PayPal"
"Last Transaction ID","Última Identificación de Transacción"
"This customer didn't include a confirmed address.","El cliente no incluyó una dirección confirmada."
"The payment is authorized but not settled.","El pago se ha autorizado, pero no se ha realizado."
"The payment eCheck is not cleared.","Todavía no se ha aprobado el eCheck de pago."
"The merchant holds a non-U.S. account and doesn't have a withdrawal mechanism.","El comerciante no posee una cuenta de Eeuu ni tampoco un mecanismo de retiro de dinero."
"The payment currency doesn't match any of the merchant's balances currency.","La moneda de pago no coincide con ninguna de las monedas de saldo del vendedor."
"The payment is pending while it is being reviewed by PayPal for risk.","El pago está pendiente, PayPal lo está revisando para asegurarse."
"The payment is pending because it was made to an email address that is not yet registered or confirmed.","El pago está pendiente porque se ha realizado a una dirección de mail que todavía no se ha registrado o confirmado."
"The merchant account is not yet verified.","Todavía no se ha verificado la cuenta de vendedor."
